Epoch: 00, Loss: 91.4128, Train acc: 85.38%, Valid acc: 85.68%, Test acc: 85.29%, Train rocauc: 18.47%, Valid rocauc: 19.21%, Test rocauc: 18.07%, Train recall: 0.19%, Valid recall: 0.12%, Test recall: 0.12%
Epoch: 01, Loss: 66.5361, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 15.79%, Valid rocauc: 16.60%, Test rocauc: 15.38%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 49.6769, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 15.18%, Valid rocauc: 16.02%, Test rocauc: 14.76%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 38.7036, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 15.58%, Valid rocauc: 16.43%, Test rocauc: 15.13%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 04, Loss: 31.6057, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 16.64%, Valid rocauc: 17.49%, Test rocauc: 16.14%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 05, Loss: 26.9664, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 18.32%, Valid rocauc: 19.12%, Test rocauc: 17.75%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 06, Loss: 23.8839, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 20.70%, Valid rocauc: 21.39%, Test rocauc: 20.06%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 07, Loss: 21.7981, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 24.05%, Valid rocauc: 24.52%, Test rocauc: 23.29%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 08, Loss: 20.3628, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 28.70%, Valid rocauc: 28.84%, Test rocauc: 27.83%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 09, Loss: 19.3598, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 35.01%, Valid rocauc: 34.74%, Test rocauc: 34.10%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 10, Loss: 18.6491, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 43.25%, Valid rocauc: 42.54%, Test rocauc: 42.41%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
