Epoch: 00, Loss: 7.1370, Train acc: 65.73%, Valid acc: 62.47%, Test acc: 63.70%, Train rocauc: 91.70%, Valid rocauc: 92.29%, Test rocauc: 91.89%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 01, Loss: 5.9256, Train acc: 65.73%, Valid acc: 62.47%, Test acc: 63.70%, Train rocauc: 91.85%, Valid rocauc: 92.39%, Test rocauc: 91.92%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 5.8851, Train acc: 65.73%, Valid acc: 62.47%, Test acc: 63.70%, Train rocauc: 91.91%, Valid rocauc: 92.45%, Test rocauc: 92.00%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 5.5776, Train acc: 65.73%, Valid acc: 62.47%, Test acc: 63.70%, Train rocauc: 91.96%, Valid rocauc: 92.52%, Test rocauc: 92.10%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 04, Loss: 5.0284, Train acc: 65.81%, Valid acc: 62.38%, Test acc: 63.96%, Train rocauc: 92.01%, Valid rocauc: 92.58%, Test rocauc: 92.21%, Train recall: 0.26%, Valid recall: 0.00%, Test recall: 0.73%
Epoch: 05, Loss: 4.4641, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 92.08%, Valid rocauc: 92.63%, Test rocauc: 92.32%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 06, Loss: 4.0554, Train acc: 88.94%, Valid acc: 89.34%, Test acc: 88.63%, Train rocauc: 92.15%, Valid rocauc: 92.68%, Test rocauc: 92.38%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 07, Loss: 3.8064, Train acc: 88.81%, Valid acc: 88.99%, Test acc: 88.37%, Train rocauc: 92.21%, Valid rocauc: 92.74%, Test rocauc: 92.43%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 08, Loss: 3.5876, Train acc: 88.81%, Valid acc: 89.07%, Test acc: 88.37%, Train rocauc: 92.29%, Valid rocauc: 92.81%, Test rocauc: 92.49%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 09, Loss: 3.3305, Train acc: 88.94%, Valid acc: 89.07%, Test acc: 88.55%, Train rocauc: 92.38%, Valid rocauc: 92.87%, Test rocauc: 92.54%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 10, Loss: 3.0741, Train acc: 89.07%, Valid acc: 89.52%, Test acc: 88.72%, Train rocauc: 92.47%, Valid rocauc: 92.96%, Test rocauc: 92.61%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 11, Loss: 2.8612, Train acc: 89.34%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 92.58%, Valid rocauc: 93.04%, Test rocauc: 92.67%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 12, Loss: 2.7036, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 92.69%, Valid rocauc: 93.10%, Test rocauc: 92.70%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 13, Loss: 2.6103, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 92.80%, Valid rocauc: 93.15%, Test rocauc: 92.75%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 14, Loss: 2.5830, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 92.91%, Valid rocauc: 93.19%, Test rocauc: 92.77%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 15, Loss: 2.5910, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.02%, Valid rocauc: 93.22%, Test rocauc: 92.82%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 16, Loss: 2.5874, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.13%, Valid rocauc: 93.25%, Test rocauc: 92.85%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 17, Loss: 2.5557, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.24%, Valid rocauc: 93.27%, Test rocauc: 92.90%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 18, Loss: 2.5178, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.36%, Valid rocauc: 93.28%, Test rocauc: 92.95%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 19, Loss: 2.5008, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.47%, Valid rocauc: 93.32%, Test rocauc: 92.99%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 20, Loss: 2.5069, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.59%, Valid rocauc: 93.36%, Test rocauc: 93.04%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 21, Loss: 2.5160, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.69%, Valid rocauc: 93.40%, Test rocauc: 93.08%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 22, Loss: 2.5109, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.81%, Valid rocauc: 93.43%, Test rocauc: 93.11%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 23, Loss: 2.4917, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 93.92%, Valid rocauc: 93.47%, Test rocauc: 93.15%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 24, Loss: 2.4718, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.04%, Valid rocauc: 93.51%, Test rocauc: 93.20%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 25, Loss: 2.4643, Train acc: 89.43%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.15%, Valid rocauc: 93.55%, Test rocauc: 93.23%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 26, Loss: 2.4684, Train acc: 89.43%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.28%, Valid rocauc: 93.59%, Test rocauc: 93.28%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 27, Loss: 2.4700, Train acc: 89.43%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.41%, Valid rocauc: 93.65%, Test rocauc: 93.31%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 28, Loss: 2.4585, Train acc: 89.43%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.55%, Valid rocauc: 93.72%, Test rocauc: 93.34%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 29, Loss: 2.4396, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.70%, Valid rocauc: 93.77%, Test rocauc: 93.39%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 30, Loss: 2.4263, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 94.87%, Valid rocauc: 93.83%, Test rocauc: 93.42%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 31, Loss: 2.4221, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 95.03%, Valid rocauc: 93.88%, Test rocauc: 93.45%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 32, Loss: 2.4186, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 95.19%, Valid rocauc: 93.94%, Test rocauc: 93.48%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 33, Loss: 2.4070, Train acc: 89.38%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 95.34%, Valid rocauc: 93.99%, Test rocauc: 93.49%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 34, Loss: 2.3898, Train acc: 89.43%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 95.48%, Valid rocauc: 94.05%, Test rocauc: 93.52%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 35, Loss: 2.3771, Train acc: 89.43%, Valid acc: 89.69%, Test acc: 89.34%, Train rocauc: 95.63%, Valid rocauc: 94.09%, Test rocauc: 93.55%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 36, Loss: 2.3718, Train acc: 89.47%, Valid acc: 89.78%, Test acc: 89.34%, Train rocauc: 95.77%, Valid rocauc: 94.13%, Test rocauc: 93.59%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
