Epoch: 25, Loss: 6.4346, Train acc: 76.61%, Valid acc: 62.84%, Test acc: 55.05%, Train rocauc: 85.11%, Valid rocauc: 68.02%, Test rocauc: 60.88%, Train recall: 74.37%, Valid recall: 62.83%, Test recall: 56.44%
Epoch: 26, Loss: 6.3784, Train acc: 75.23%, Valid acc: 64.22%, Test acc: 57.34%, Train rocauc: 85.26%, Valid rocauc: 68.08%, Test rocauc: 60.84%, Train recall: 81.91%, Valid recall: 76.11%, Test recall: 68.32%
Epoch: 27, Loss: 6.3002, Train acc: 77.75%, Valid acc: 65.14%, Test acc: 54.13%, Train rocauc: 85.43%, Valid rocauc: 68.10%, Test rocauc: 60.79%, Train recall: 77.89%, Valid recall: 69.03%, Test recall: 56.44%
Epoch: 28, Loss: 6.1708, Train acc: 77.29%, Valid acc: 61.01%, Test acc: 56.88%, Train rocauc: 85.61%, Valid rocauc: 68.08%, Test rocauc: 60.79%, Train recall: 64.32%, Valid recall: 46.90%, Test recall: 45.54%
Epoch: 29, Loss: 6.0128, Train acc: 76.15%, Valid acc: 59.63%, Test acc: 57.34%, Train rocauc: 85.84%, Valid rocauc: 68.07%, Test rocauc: 60.79%, Train recall: 56.78%, Valid recall: 38.05%, Test recall: 37.62%
Epoch: 30, Loss: 5.8439, Train acc: 78.90%, Valid acc: 60.55%, Test acc: 57.34%, Train rocauc: 86.07%, Valid rocauc: 67.98%, Test rocauc: 60.79%, Train recall: 69.85%, Valid recall: 49.56%, Test recall: 48.51%
Epoch: 31, Loss: 5.6253, Train acc: 77.75%, Valid acc: 62.39%, Test acc: 57.34%, Train rocauc: 86.41%, Valid rocauc: 67.94%, Test rocauc: 60.87%, Train recall: 82.41%, Valid recall: 70.80%, Test recall: 65.35%
Epoch: 32, Loss: 5.4660, Train acc: 79.59%, Valid acc: 63.30%, Test acc: 55.50%, Train rocauc: 86.87%, Valid rocauc: 67.95%, Test rocauc: 60.82%, Train recall: 75.88%, Valid recall: 61.06%, Test recall: 54.46%
Epoch: 33, Loss: 5.2769, Train acc: 79.13%, Valid acc: 61.01%, Test acc: 56.88%, Train rocauc: 87.49%, Valid rocauc: 67.96%, Test rocauc: 60.78%, Train recall: 64.82%, Valid recall: 43.36%, Test recall: 42.57%
Epoch: 34, Loss: 5.1353, Train acc: 81.42%, Valid acc: 65.60%, Test acc: 55.96%, Train rocauc: 88.09%, Valid rocauc: 68.07%, Test rocauc: 60.69%, Train recall: 80.90%, Valid recall: 67.26%, Test recall: 59.41%
Epoch: 35, Loss: 4.8914, Train acc: 81.65%, Valid acc: 64.68%, Test acc: 56.88%, Train rocauc: 88.88%, Valid rocauc: 67.93%, Test rocauc: 60.67%, Train recall: 81.91%, Valid recall: 67.26%, Test recall: 60.40%
Epoch: 36, Loss: 4.6011, Train acc: 81.42%, Valid acc: 61.93%, Test acc: 56.88%, Train rocauc: 89.89%, Valid rocauc: 68.02%, Test rocauc: 60.68%, Train recall: 69.85%, Valid recall: 47.79%, Test recall: 44.55%
Epoch: 37, Loss: 4.3584, Train acc: 77.52%, Valid acc: 61.47%, Test acc: 58.26%, Train rocauc: 90.62%, Valid rocauc: 68.02%, Test rocauc: 60.45%, Train recall: 90.95%, Valid recall: 78.76%, Test recall: 75.25%
Epoch: 38, Loss: 4.4299, Train acc: 79.82%, Valid acc: 59.63%, Test acc: 56.42%, Train rocauc: 91.74%, Valid rocauc: 68.07%, Test rocauc: 60.43%, Train recall: 61.31%, Valid recall: 35.40%, Test recall: 32.67%
Epoch: 39, Loss: 4.3550, Train acc: 83.94%, Valid acc: 63.30%, Test acc: 56.42%, Train rocauc: 92.35%, Valid rocauc: 68.39%, Test rocauc: 60.19%, Train recall: 82.41%, Valid recall: 62.83%, Test recall: 55.45%
Epoch: 40, Loss: 3.7420, Train acc: 79.13%, Valid acc: 61.01%, Test acc: 58.26%, Train rocauc: 93.14%, Valid rocauc: 68.65%, Test rocauc: 60.03%, Train recall: 93.47%, Valid recall: 79.65%, Test recall: 76.24%
Epoch: 41, Loss: 4.1007, Train acc: 84.63%, Valid acc: 63.76%, Test acc: 55.05%, Train rocauc: 94.04%, Valid rocauc: 68.50%, Test rocauc: 59.74%, Train recall: 73.37%, Valid recall: 48.67%, Test recall: 41.58%
Epoch: 42, Loss: 3.5462, Train acc: 85.78%, Valid acc: 63.30%, Test acc: 54.13%, Train rocauc: 94.74%, Valid rocauc: 68.47%, Test rocauc: 59.63%, Train recall: 76.38%, Valid recall: 48.67%, Test recall: 42.57%
Epoch: 43, Loss: 3.3169, Train acc: 83.94%, Valid acc: 61.01%, Test acc: 56.42%, Train rocauc: 95.56%, Valid rocauc: 68.64%, Test rocauc: 59.41%, Train recall: 97.49%, Valid recall: 80.53%, Test recall: 74.26%
Epoch: 44, Loss: 3.5017, Train acc: 88.07%, Valid acc: 62.84%, Test acc: 55.96%, Train rocauc: 96.16%, Valid rocauc: 68.31%, Test rocauc: 59.35%, Train recall: 88.44%, Valid recall: 62.83%, Test recall: 57.43%
Epoch: 45, Loss: 2.7105, Train acc: 87.61%, Valid acc: 62.39%, Test acc: 54.59%, Train rocauc: 96.68%, Valid rocauc: 67.86%, Test rocauc: 59.30%, Train recall: 75.38%, Valid recall: 41.59%, Test recall: 33.66%
Epoch: 46, Loss: 3.0694, Train acc: 89.91%, Valid acc: 61.93%, Test acc: 56.42%, Train rocauc: 97.18%, Valid rocauc: 68.02%, Test rocauc: 59.07%, Train recall: 95.98%, Valid recall: 70.80%, Test recall: 65.35%
Epoch: 47, Loss: 2.4776, Train acc: 90.37%, Valid acc: 61.93%, Test acc: 55.96%, Train rocauc: 97.64%, Valid rocauc: 67.78%, Test rocauc: 58.96%, Train recall: 96.48%, Valid recall: 72.57%, Test recall: 67.33%
Epoch: 48, Loss: 2.3448, Train acc: 91.97%, Valid acc: 62.39%, Test acc: 55.96%, Train rocauc: 98.23%, Valid rocauc: 67.31%, Test rocauc: 58.68%, Train recall: 83.92%, Valid recall: 44.25%, Test recall: 38.61%
Epoch: 49, Loss: 2.3752, Train acc: 93.81%, Valid acc: 62.39%, Test acc: 56.42%, Train rocauc: 98.44%, Valid rocauc: 67.13%, Test rocauc: 58.51%, Train recall: 93.47%, Valid recall: 57.52%, Test recall: 55.45%
Epoch: 50, Loss: 1.8489, Train acc: 90.37%, Valid acc: 62.84%, Test acc: 55.05%, Train rocauc: 98.65%, Valid rocauc: 67.05%, Test rocauc: 58.58%, Train recall: 96.98%, Valid recall: 73.45%, Test recall: 68.32%
Epoch: 51, Loss: 2.0534, Train acc: 94.95%, Valid acc: 60.55%, Test acc: 57.34%, Train rocauc: 98.92%, Valid rocauc: 66.66%, Test rocauc: 58.48%, Train recall: 93.47%, Valid recall: 53.98%, Test recall: 53.47%
Epoch: 52, Loss: 1.5300, Train acc: 95.18%, Valid acc: 60.09%, Test acc: 56.88%, Train rocauc: 99.13%, Valid rocauc: 66.41%, Test rocauc: 58.36%, Train recall: 90.95%, Valid recall: 47.79%, Test recall: 46.53%
Epoch: 53, Loss: 1.6268, Train acc: 94.72%, Valid acc: 63.76%, Test acc: 56.88%, Train rocauc: 99.20%, Valid rocauc: 66.10%, Test rocauc: 58.06%, Train recall: 96.98%, Valid recall: 70.80%, Test recall: 68.32%
Epoch: 54, Loss: 1.4644, Train acc: 95.64%, Valid acc: 61.47%, Test acc: 56.42%, Train rocauc: 99.40%, Valid rocauc: 66.31%, Test rocauc: 58.11%, Train recall: 95.98%, Valid recall: 63.72%, Test recall: 62.38%
Epoch: 55, Loss: 1.1466, Train acc: 96.33%, Valid acc: 60.09%, Test acc: 56.42%, Train rocauc: 99.59%, Valid rocauc: 65.50%, Test rocauc: 58.38%, Train recall: 92.96%, Valid recall: 46.90%, Test recall: 43.56%
Epoch: 56, Loss: 1.3108, Train acc: 97.25%, Valid acc: 61.93%, Test acc: 56.88%, Train rocauc: 99.67%, Valid rocauc: 65.60%, Test rocauc: 58.61%, Train recall: 96.98%, Valid recall: 64.60%, Test recall: 61.39%
Epoch: 57, Loss: 0.9074, Train acc: 97.02%, Valid acc: 61.47%, Test acc: 55.50%, Train rocauc: 99.74%, Valid rocauc: 65.33%, Test rocauc: 58.71%, Train recall: 98.99%, Valid recall: 67.26%, Test recall: 66.34%
Epoch: 58, Loss: 0.9873, Train acc: 97.48%, Valid acc: 61.47%, Test acc: 57.80%, Train rocauc: 99.87%, Valid rocauc: 65.15%, Test rocauc: 58.35%, Train recall: 94.47%, Valid recall: 51.33%, Test recall: 49.50%
Epoch: 59, Loss: 0.8406, Train acc: 98.17%, Valid acc: 61.01%, Test acc: 57.80%, Train rocauc: 99.94%, Valid rocauc: 65.00%, Test rocauc: 58.49%, Train recall: 95.98%, Valid recall: 53.98%, Test recall: 54.46%
Epoch: 60, Loss: 0.6619, Train acc: 98.62%, Valid acc: 61.01%, Test acc: 56.88%, Train rocauc: 99.89%, Valid rocauc: 64.98%, Test rocauc: 58.50%, Train recall: 99.50%, Valid recall: 66.37%, Test recall: 65.35%
Epoch: 61, Loss: 0.6689, Train acc: 99.77%, Valid acc: 59.17%, Test acc: 58.26%, Train rocauc: 99.96%, Valid rocauc: 65.50%, Test rocauc: 58.42%, Train recall: 99.50%, Valid recall: 59.29%, Test recall: 64.36%
Epoch: 62, Loss: 0.4970, Train acc: 99.08%, Valid acc: 60.55%, Test acc: 56.88%, Train rocauc: 99.99%, Valid rocauc: 64.90%, Test rocauc: 58.42%, Train recall: 97.99%, Valid recall: 52.21%, Test recall: 53.47%
Epoch: 63, Loss: 0.5012, Train acc: 99.54%, Valid acc: 60.55%, Test acc: 57.34%, Train rocauc: 99.99%, Valid rocauc: 64.72%, Test rocauc: 58.56%, Train recall: 98.99%, Valid recall: 55.75%, Test recall: 58.42%
Epoch: 64, Loss: 0.4073, Train acc: 99.77%, Valid acc: 57.34%, Test acc: 57.80%, Train rocauc: 99.99%, Valid rocauc: 64.78%, Test rocauc: 58.86%, Train recall: 99.50%, Valid recall: 58.41%, Test recall: 63.37%
Epoch: 65, Loss: 0.4148, Train acc: 99.77%, Valid acc: 58.26%, Test acc: 57.80%, Train rocauc: 100.00%, Valid rocauc: 65.26%, Test rocauc: 58.96%, Train recall: 99.50%, Valid recall: 58.41%, Test recall: 63.37%
Epoch: 66, Loss: 0.3397, Train acc: 99.77%, Valid acc: 60.55%, Test acc: 57.80%, Train rocauc: 100.00%, Valid rocauc: 65.26%, Test rocauc: 59.10%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 58.42%
Epoch: 67, Loss: 0.3320, Train acc: 99.77%, Valid acc: 61.93%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.04%, Test rocauc: 59.23%, Train recall: 99.50%, Valid recall: 54.87%, Test recall: 55.45%
Epoch: 68, Loss: 0.3152, Train acc: 99.77%, Valid acc: 59.17%, Test acc: 58.72%, Train rocauc: 100.00%, Valid rocauc: 65.07%, Test rocauc: 59.38%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 61.39%
Epoch: 69, Loss: 0.2748, Train acc: 99.77%, Valid acc: 57.34%, Test acc: 58.26%, Train rocauc: 100.00%, Valid rocauc: 65.14%, Test rocauc: 59.36%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 63.37%
Epoch: 70, Loss: 0.2681, Train acc: 99.77%, Valid acc: 57.34%, Test acc: 58.72%, Train rocauc: 100.00%, Valid rocauc: 65.31%, Test rocauc: 59.25%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 63.37%
Epoch: 71, Loss: 0.2476, Train acc: 99.77%, Valid acc: 60.55%, Test acc: 57.80%, Train rocauc: 100.00%, Valid rocauc: 65.35%, Test rocauc: 59.36%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 58.42%
Epoch: 72, Loss: 0.2275, Train acc: 99.77%, Valid acc: 61.47%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 64.97%, Test rocauc: 59.10%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 56.44%
Epoch: 73, Loss: 0.2362, Train acc: 99.77%, Valid acc: 61.01%, Test acc: 57.80%, Train rocauc: 100.00%, Valid rocauc: 65.06%, Test rocauc: 59.37%, Train recall: 99.50%, Valid recall: 55.75%, Test recall: 58.42%
Epoch: 74, Loss: 0.2078, Train acc: 100.00%, Valid acc: 59.63%, Test acc: 57.80%, Train rocauc: 100.00%, Valid rocauc: 65.50%, Test rocauc: 59.44%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 60.40%
Epoch: 75, Loss: 0.1826, Train acc: 100.00%, Valid acc: 59.17%, Test acc: 58.26%, Train rocauc: 100.00%, Valid rocauc: 65.45%, Test rocauc: 59.17%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 60.40%
Epoch: 76, Loss: 0.1849, Train acc: 100.00%, Valid acc: 62.39%, Test acc: 58.26%, Train rocauc: 100.00%, Valid rocauc: 65.32%, Test rocauc: 59.14%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 58.42%
Epoch: 77, Loss: 0.1670, Train acc: 100.00%, Valid acc: 63.30%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.22%, Test rocauc: 59.22%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 55.45%
Epoch: 78, Loss: 0.1518, Train acc: 100.00%, Valid acc: 63.30%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.10%, Test rocauc: 59.41%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 55.45%
Epoch: 79, Loss: 0.1535, Train acc: 100.00%, Valid acc: 63.30%, Test acc: 57.34%, Train rocauc: 100.00%, Valid rocauc: 65.33%, Test rocauc: 59.41%, Train recall: 100.00%, Valid recall: 55.75%, Test recall: 55.45%
