Epoch: 00, Loss: 7.7237, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 86.96%, Valid rocauc: 86.28%, Test rocauc: 86.40%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 01, Loss: 3.7748, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 92.36%, Valid rocauc: 91.84%, Test rocauc: 92.09%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 2.3399, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 93.82%, Valid rocauc: 93.32%, Test rocauc: 93.61%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 1.8444, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.07%, Valid rocauc: 93.61%, Test rocauc: 93.85%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 04, Loss: 1.6707, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.11%, Valid rocauc: 93.67%, Test rocauc: 93.88%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 05, Loss: 1.6129, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.11%, Valid rocauc: 93.68%, Test rocauc: 93.89%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 06, Loss: 1.5986, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.11%, Valid rocauc: 93.69%, Test rocauc: 93.89%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 07, Loss: 1.6000, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.11%, Valid rocauc: 93.69%, Test rocauc: 93.90%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 08, Loss: 1.6056, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.11%, Valid rocauc: 93.70%, Test rocauc: 93.92%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 09, Loss: 1.6106, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.13%, Valid rocauc: 93.70%, Test rocauc: 93.96%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 10, Loss: 1.6127, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.15%, Valid rocauc: 93.71%, Test rocauc: 93.99%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 11, Loss: 1.6113, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.18%, Valid rocauc: 93.72%, Test rocauc: 94.03%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 12, Loss: 1.6061, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.21%, Valid rocauc: 93.72%, Test rocauc: 94.07%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 13, Loss: 1.5972, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.23%, Valid rocauc: 93.73%, Test rocauc: 94.11%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 14, Loss: 1.5849, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.25%, Valid rocauc: 93.74%, Test rocauc: 94.14%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 15, Loss: 1.5694, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.26%, Valid rocauc: 93.74%, Test rocauc: 94.17%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 16, Loss: 1.5512, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.28%, Valid rocauc: 93.75%, Test rocauc: 94.20%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 17, Loss: 1.5306, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.28%, Valid rocauc: 93.75%, Test rocauc: 94.21%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 18, Loss: 1.5080, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.29%, Valid rocauc: 93.75%, Test rocauc: 94.23%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 19, Loss: 1.4840, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.29%, Valid rocauc: 93.75%, Test rocauc: 94.25%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 20, Loss: 1.4590, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.30%, Valid rocauc: 93.75%, Test rocauc: 94.26%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 21, Loss: 1.4336, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.30%, Valid rocauc: 93.75%, Test rocauc: 94.26%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 22, Loss: 1.4085, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.30%, Valid rocauc: 93.75%, Test rocauc: 94.27%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 23, Loss: 1.3841, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.30%, Valid rocauc: 93.75%, Test rocauc: 94.28%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 24, Loss: 1.3612, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.30%, Valid rocauc: 93.74%, Test rocauc: 94.28%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
