Epoch: 00, Loss: 54.0494, Train acc: 95.90%, Valid acc: 95.66%, Test acc: 95.80%, Train rocauc: 71.85%, Valid rocauc: 71.39%, Test rocauc: 71.69%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 01, Loss: 30.0255, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 83.74%, Valid rocauc: 83.36%, Test rocauc: 83.57%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 20.4905, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 91.02%, Valid rocauc: 90.90%, Test rocauc: 91.03%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 17.1171, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 93.29%, Valid rocauc: 93.20%, Test rocauc: 93.43%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 04, Loss: 15.9214, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 93.84%, Valid rocauc: 93.78%, Test rocauc: 94.05%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 05, Loss: 15.4704, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 93.96%, Valid rocauc: 93.91%, Test rocauc: 94.19%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 06, Loss: 15.2626, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 93.99%, Valid rocauc: 93.93%, Test rocauc: 94.21%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 07, Loss: 15.1146, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 93.99%, Valid rocauc: 93.94%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 08, Loss: 14.9562, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.95%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 09, Loss: 14.7607, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.96%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 10, Loss: 14.5198, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.96%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 11, Loss: 14.2341, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.97%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 12, Loss: 13.9092, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.97%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 13, Loss: 13.5535, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.97%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 14, Loss: 13.1786, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.98%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 15, Loss: 12.7984, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.98%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 16, Loss: 12.4293, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.98%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 17, Loss: 12.0896, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 18, Loss: 11.7968, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 19, Loss: 11.5642, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 20, Loss: 11.3977, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.00%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 21, Loss: 11.2938, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.01%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 22, Loss: 11.2380, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.01%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 23, Loss: 11.2022, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.01%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 24, Loss: 11.1517, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.01%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 25, Loss: 11.0602, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.01%, Valid rocauc: 93.99%, Test rocauc: 94.22%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 26, Loss: 10.9222, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.02%, Valid rocauc: 93.98%, Test rocauc: 94.23%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 27, Loss: 10.7544, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.02%, Valid rocauc: 93.98%, Test rocauc: 94.23%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 28, Loss: 10.5857, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.03%, Valid rocauc: 93.98%, Test rocauc: 94.24%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 29, Loss: 10.4432, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.04%, Valid rocauc: 93.98%, Test rocauc: 94.24%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 30, Loss: 10.3413, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.05%, Valid rocauc: 93.98%, Test rocauc: 94.25%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 31, Loss: 10.2800, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.06%, Valid rocauc: 93.97%, Test rocauc: 94.25%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 32, Loss: 10.2498, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.08%, Valid rocauc: 93.97%, Test rocauc: 94.25%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 33, Loss: 10.2360, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.09%, Valid rocauc: 93.97%, Test rocauc: 94.27%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 34, Loss: 10.2232, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.11%, Valid rocauc: 93.99%, Test rocauc: 94.28%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 35, Loss: 10.1995, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.13%, Valid rocauc: 94.00%, Test rocauc: 94.29%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 36, Loss: 10.1599, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.14%, Valid rocauc: 94.01%, Test rocauc: 94.30%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 37, Loss: 10.1070, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.15%, Valid rocauc: 94.02%, Test rocauc: 94.31%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 38, Loss: 10.0500, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.15%, Valid rocauc: 94.02%, Test rocauc: 94.31%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 39, Loss: 10.0009, Train acc: 95.91%, Valid acc: 95.67%, Test acc: 95.80%, Train rocauc: 94.16%, Valid rocauc: 94.03%, Test rocauc: 94.32%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
