Epoch: 00, Loss: 7.3218, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 78.46%, Valid rocauc: 72.26%, Test rocauc: 75.65%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 01, Loss: 5.8454, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.06%, Valid rocauc: 74.17%, Test rocauc: 76.97%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 5.9325, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.31%, Valid rocauc: 74.45%, Test rocauc: 77.14%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 5.9771, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.46%, Valid rocauc: 74.71%, Test rocauc: 77.31%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 04, Loss: 5.7888, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.56%, Valid rocauc: 74.90%, Test rocauc: 77.50%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 05, Loss: 5.4841, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.59%, Valid rocauc: 75.14%, Test rocauc: 77.69%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 06, Loss: 5.1812, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.61%, Valid rocauc: 75.35%, Test rocauc: 77.82%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 07, Loss: 4.9622, Train acc: 70.49%, Valid acc: 66.95%, Test acc: 72.38%, Train rocauc: 80.69%, Valid rocauc: 75.56%, Test rocauc: 77.99%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 08, Loss: 4.8549, Train acc: 72.96%, Valid acc: 69.53%, Test acc: 69.16%, Train rocauc: 80.83%, Valid rocauc: 75.72%, Test rocauc: 77.98%, Train recall: 98.18%, Valid recall: 98.70%, Test recall: 96.90%
Epoch: 09, Loss: 4.8230, Train acc: 71.35%, Valid acc: 69.10%, Test acc: 68.52%, Train rocauc: 81.04%, Valid rocauc: 75.84%, Test rocauc: 78.19%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
Epoch: 10, Loss: 4.7946, Train acc: 71.35%, Valid acc: 69.10%, Test acc: 68.52%, Train rocauc: 81.28%, Valid rocauc: 75.93%, Test rocauc: 78.31%, Train recall: 100.00%, Valid recall: 100.00%, Test recall: 100.00%
