Epoch: 00, Loss: 77.2372, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 86.76%, Valid rocauc: 86.05%, Test rocauc: 86.20%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 01, Loss: 37.7042, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 92.42%, Valid rocauc: 91.87%, Test rocauc: 92.17%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 02, Loss: 23.3580, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 93.91%, Valid rocauc: 93.38%, Test rocauc: 93.73%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 03, Loss: 18.4103, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.16%, Valid rocauc: 93.65%, Test rocauc: 93.95%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 04, Loss: 16.6737, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.19%, Valid rocauc: 93.70%, Test rocauc: 93.98%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 05, Loss: 16.0924, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.18%, Valid rocauc: 93.70%, Test rocauc: 93.97%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 06, Loss: 15.9432, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.17%, Valid rocauc: 93.70%, Test rocauc: 93.96%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 07, Loss: 15.9485, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.15%, Valid rocauc: 93.70%, Test rocauc: 93.95%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 08, Loss: 15.9937, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.14%, Valid rocauc: 93.70%, Test rocauc: 93.95%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 09, Loss: 16.0297, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.14%, Valid rocauc: 93.70%, Test rocauc: 93.96%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 10, Loss: 16.0354, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.15%, Valid rocauc: 93.71%, Test rocauc: 93.98%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
Epoch: 11, Loss: 16.0027, Train acc: 95.90%, Valid acc: 95.71%, Test acc: 95.78%, Train rocauc: 94.16%, Valid rocauc: 93.71%, Test rocauc: 94.00%, Train recall: 0.00%, Valid recall: 0.00%, Test recall: 0.00%
